01/01/2000 12:00:00 AM,19157,Poweshiek,3824,3856,,4224,,11904,302,151,,311,,764,12668,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
02/01/2000 12:00:00 AM,19157,Poweshiek,3833,3842,,4244,,11919,301,149,,307,,757,12676,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
03/01/2000 12:00:00 AM,19157,Poweshiek,3833,3842,,4244,,11919,301,149,,307,,757,12676,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
04/01/2000 12:00:00 AM,19157,Poweshiek,4111,3911,,4212,,12234,303,149,,303,,755,12989,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
05/01/2000 12:00:00 AM,19157,Poweshiek,4113,3908,,4235,,12256,303,149,,303,,755,13011,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
06/01/2000 12:00:00 AM,19157,Poweshiek,4113,3908,,4235,,12256,303,149,,303,,755,13011,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
07/01/2000 12:00:00 AM,19157,Poweshiek,4038,3857,,4162,,12057,382,216,,418,,1016,13073,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
08/01/2000 12:00:00 AM,19157,Poweshiek,3998,4109,,4003,,12110,372,206,,404,,982,13092,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
10/01/2000 12:00:00 AM,19157,Poweshiek,3897,4076,,3950,,11923,484,251,,518,,1253,13176,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
11/01/2000 12:00:00 AM,19157,Poweshiek,3918,4095,,4054,,12067,476,245,,502,,1223,13290,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
12/01/2000 12:00:00 AM,19157,Poweshiek,3928,4133,,4110,,12171,476,242,,500,,1218,13389,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
01/01/2001 12:00:00 AM,19157,Poweshiek,3991,4153,,4245,,12389,462,231,,492,,1185,13574,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
02/01/2001 12:00:00 AM,19157,Poweshiek,3986,4157,,4239,,12382,355,187,,370,,912,13294,41.6864422,-92.5314684,"(41.6864422, -92.5314684)"
